k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[4.1365481575, 0.02, 0.17712896, 0.02, 1.6563998369, 0.02, 1.1912670842, 0.02, 0.29540308, 0.02, 0.33044829, 0.02, 0.081689693, 0.02, 0.25366977, 0.02, 1.3979474874, 0.02, 1.1726179747, 0.02, 0.09020114, 0.02, 0.12924843, 0.02, 0.30391686, 0.02, 0.1048141, 0.02, 0.1179912, 0.02, 0.54496913, 0.02, 0.007783709, 0.02, 0.089054003, 0.02, 0.11016803, 0.02, 0.039888624, 0.02, 0.098350298, 0.02, 0.28456638, 0.02, 0.4217993, 0.02, 0.16224077, 0.02, 0.071969874, 0.02, 0.31414176, 0.02, 0.14023746, 0.02, 0.28639923, 0.02, 0.062871838, 0.02, 0.15213167, 0.02, 0.19259894, 0.02, 0.15142465, 0.02, 0.39070068, 0.02]|263050.2304652961902320|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[4.286498125361176, 0.3585297358036041, 0.1402778556511021, -0.1449813205003739, 1.4693617281935256, -0.1810734379291535, 0.9843734166213027, -0.1847142088413239, 0.1003173011675644, -0.1588247376680374, 0.1735006325340652, -0.1106108087301254, -0.0193644836881943, -0.0495511102676392, 0.2163069150722218, 0.0143013065494597, 1.4222659813026832, 0.0716812317073345, 1.2481389967813752, 0.1151265692710877, 0.2001579036847496, 0.1396486726403236, 0.2532690362793731, 0.1430705827474594, 0.4208873320377922, 0.1260560718178749, 0.1956275877681732, 0.0918621835112572, 0.1679262503087044, 0.0458559845387936, 0.5558503546471644, -0.0051560993492603, -0.0424309057191525, -0.0537312361598015, -0.0057658556702347, -0.0926647815108299, -0.0163793065783691, -0.1158709037303925, -0.1002952122216949, -0.1191997039318085, -0.0344639603370209, -0.1011183965206146, 0.1801595016478348, -0.0631817239522934, 0.3636491650193214, -0.0102160046994686, 0.1617760713800923, 0.0498596974462271, 0.1313549613410702, 0.1066506919264793, 0.4242972157681084, 0.1484162849187851, 0.2802737002200699, 0.1637837183475494, 0.4250819530453491, 0.1441148561239242, 0.1628052014972572, 0.0865899515151978, 0.1774060771185589, 0.0390496779978275, 0.12070763961977, -0.1002250346541405, -0.0096974634662628, -0.1671276646852493, 0.2017817467276383, -0.1350657451152802]|29414.8828125000000000|      2.00000000|[16, 1, 0, 1]                                                              | | GPS sucess | actual_k=1
       2|[4.419297974275322, 0.7238475573062897, 0.3792854925558186, 0.4940366190671921, 0.762777274610762, -0.5640462446212768, 1.7921372315474502, -0.2093217442929745, 0.2076566386357117, 0.4390125316381455, 0.8340241663551712, -0.2213177490234375, 0.5550784989854507, -0.1571774888038635, 0.5999519727504444, -0.3630772466026246, 1.5441920058588432, 0.125492364615202, 1.4740121243610642, 0.1849811342358589, 0.4723337819711113, 0.0278986808657646, 0.8549705939156341, -0.0951804029941559, 0.4575747769332981, 1.2714155879616738, 0.2932655167904854, 1.2935663279891014, -0.496817351967144, -0.1683772648870945, 0.1498856224770594, 0.5030937199294567, -0.3607591074899349, 0.8397554424405098, 0.3727247711417465, -0.3109725150465965, -0.0374885001418304, -0.9148672926425934, 0.4772298670286407, -0.1232204493321478, 0.2747438665157776, -0.1407393771409988, 0.6812271400450516, 0.3452158313989639, 0.5508030557482719, 0.6741253067553044, 0.0385374854907528, -0.5302466801553964, 0.1599547376686802, 0.2477606800198555, 0.9402144573414422, -0.9421493965387344, 0.2103453298039055, 0.5322800767421723, 0.5380009856190491, 0.6372945946455002, 0.4924177248145943, 1.0301469159126282, -0.5204660251420308, -0.2411820064485073, 0.2756564106196785, 0.7945881453156471, 0.1285480148061752, -0.6094738501310348, -0.4830669790681076, -0.1434668102487922]|10089.6035156250000000|      4.00000000|[31, 2, 0, 2]                                                              | | GPS sucess | actual_k=1
       3|[5.4300095249879075, 1.3771681678295136, 1.027407922403536, 0.1373807829618454, 4.418117469312911, -0.9195337998867035, 1.4531613847800247, -0.5239912639558315, -0.0771130454405975, 0.1876328331232071, 0.6176121883488083, -0.4028433221578598, 0.4069885089656524, -0.2743476885557175, 0.5104228905713749, -0.4287204975448549, 1.4984628343741344, 0.0957159683853388, 1.4564265990718863, 0.1761726862564683, 0.4693447110154474, 0.0282958327839151, 0.8568768102930265, -0.0930882531870157, 0.459052767465592, 1.2719473312422633, 0.2929131866338834, 1.2926994052063674, -0.4976167671345651, -0.1684115763568843, 0.1513349183787528, 0.5066785006597638, -0.3545301110491667, 0.8489320366457105, 0.352940911069253, -0.296019743680954, -0.0202684966114473, -0.8961598104983568, 0.4964061043137779, -0.1047832798399031, 0.2797176254591565, -0.1278212419897318, 0.6893597942872691, 0.3473575522471219, 0.5459711777455389, 0.6616460033506155, 0.018121601979448, -0.5584432031214237, 0.1246185784990063, 0.2064257790148258, 0.8945072203660107, -0.9901640112698078, 0.1624451485402203, 0.4871555683016777, 0.4984004531171131, 0.6058686454594135, 0.471507076185525, 1.0215501910820604, -0.5157340678070057, -0.2231280519813299, 0.3057883299291754, 0.8341440413892269, 0.1733608468338489, -0.5650865319371223, -0.4461679488595199, -0.1221838896349073]|6657.4921875000000000|      8.00000000|[46, 3, 0, 3]                                                              | | GPS sucess | actual_k=1
     134|[3.58149730466801, 6.428071064639431, -1.3237247361059123, -1.0182066736397308, 3.064007177324533, 1.2825789567777992, 1.9645815983964372, -3.026648454227131, -0.0607669658961976, 6.353949027139614, -0.2390691475449085, -3.623248113382222, -2.4177076305291925, -4.1428236468738735, -4.21711177604905, 11.18409008354, -5.535630641101955, 30.82174205413407, -7.099012087162433, 7.6763232998537365, -6.867574804172747, -6.89716578962476, -1.7971511640133457, 7.139083325485571, -10.402631982207733, -6.968898817978749, -10.670052818190833, -6.363971553497903, -7.616099082177749, -5.2005973979832625, 54.99723894581843, -5.946348357992706, -2.9010245639050734, -2.208821119588094, -0.9721124103207056, -4.710672653221799, -0.042498211824706, -0.4349344260181217, -0.2118366614102342, -0.5513604027726677, 0.6664474998149919, -2.6515090813734994, -0.3324796197356575, 0.7462809197196696, -0.7218951490251737, 19.914044591295813, -2.0950834261750364, -4.220257735430242, -4.455324993982245, -6.177424454809695, -10.017413315675986, 11.065792299015824, -10.603560987132658, -7.773722385554148, 18.55431583210821, 38.25977679256569, -5.41424546559416, -5.445550446871844, -7.5662964643083175, -6.449260482200333, -3.3312678155646185, 1.7201351504651272, -1.7139132566798112, 2.5825529407563197, 1.6974706044218384, 2.212402703268884]|386.2423706054687500|      1.00000000|[7555, 555, 0, 555]                                                        | | GPS sucess | actual_k=1
     135|[3.58149730466801, 6.428071064639431, -1.3237247361059123, -1.0182066736397308, 3.064007177324533, 1.2825789567777992, 1.9645815983964372, -3.026648454227131, -0.0607669658961976, 6.353949027139614, -0.2390691475449085, -3.623248113382222, -2.4177076305291925, -4.1428236468738735, -4.21711177604905, 11.18409008354, -5.535630641101955, 30.82174205413407, -7.099012087162433, 7.6763232998537365, -6.867574804172747, -6.89716578962476, -1.7971511640133457, 7.139083325485571, -10.402631982207733, -6.968898817978749, -10.670052818190833, -6.363971553497903, -7.616099082177749, -5.2005973979832625, 54.99723894581843, -5.946348357992706, -2.9010245639050734, -2.208821119588094, -0.9721124103207056, -4.710672653221799, -0.042498211824706, -0.4349344260181217, -0.2118366614102342, -0.5513604027726677, 0.6664474998149919, -2.6515090813734994, -0.3324796197356575, 0.7462809197196696, -0.7218951490251737, 19.914044591295813, -2.0950834261750364, -4.220257735430242, -4.455324993982245, -6.177424454809695, -10.017413315675986, 11.065792299015824, -10.603560987132658, -7.773722385554148, 18.55431583210821, 38.25977679256569, -5.41424546559416, -5.445550446871844, -7.5662964643083175, -6.449260482200333, -3.3312678155646185, 1.7201351504651272, -1.7139132566798112, 2.5825529407563197, 1.6974706044218384, 2.212402703268884]|386.2423706054687500|      0.50000000|[7637, 561, 0, 561]                                                        |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 29 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 43 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 57 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 70 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
     136|[3.58149730466801, 6.428071064639431, -1.3237247361059123, -1.0182066736397308, 3.064007177324533, 1.2825789567777992, 1.9645815983964372, -3.026648454227131, -0.0607669658961976, 6.353949027139614, -0.2390691475449085, -3.623248113382222, -2.4177076305291925, -4.1428236468738735, -4.21711177604905, 11.18409008354, -5.535630641101955, 30.82174205413407, -7.099012087162433, 7.6763232998537365, -6.867574804172747, -6.89716578962476, -1.7971511640133457, 7.139083325485571, -10.402631982207733, -6.968898817978749, -10.670052818190833, -6.363971553497903, -7.616099082177749, -5.2005973979832625, 54.99723894581843, -5.946348357992706, -2.9010245639050734, -2.208821119588094, -0.9721124103207056, -4.710672653221799, -0.042498211824706, -0.4349344260181217, -0.2118366614102342, -0.5513604027726677, 0.6664474998149919, -2.6515090813734994, -0.3324796197356575, 0.7462809197196696, -0.7218951490251737, 19.914044591295813, -2.0950834261750364, -4.220257735430242, -4.455324993982245, -6.177424454809695, -10.017413315675986, 11.065792299015824, -10.603560987132658, -7.773722385554148, 18.55431583210821, 38.25977679256569, -5.41424546559416, -5.445550446871844, -7.5662964643083175, -6.449260482200333, -3.3312678155646185, 1.7201351504651272, -1.7139132566798112, 2.5825529407563197, 1.6974706044218384, 2.212402703268884]|386.2423706054687500|      0.25000000|[7718, 567, 0, 567]                                                        |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 29 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 42 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 56 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 69 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
     137|[3.6192958062191614, 6.391885978865963, -1.3359216494674617, -1.022459009627716, 3.056061791562974, 1.2708311243677617, 1.949187975245552, -3.0453001333853416, -0.0821031115952218, 6.330637201670478, -0.2635648739961862, -3.39076006232536, -2.442112802623895, -4.166023586974186, -4.238440405974897, 11.165183797553695, -5.5516967992923245, 30.823692174221783, -7.108721548754571, 7.66984193036207, -6.8709742493823995, -6.897746054345825, -1.7952721218824508, 7.14298709001845, -10.397188524693686, -6.9624261423833165, -10.663062168453415, -6.356951574549965, -7.609494648186734, -5.194791398942659, 55.00194023237277, -5.942970883381081, -2.899096635953745, -2.2083734544215186, -0.9730835643394765, -4.712916213262169, -0.0292767262844352, -0.4390030395361512, -0.2163571600920477, -0.5559897758574215, 0.6620535143200206, -2.65534321301295, -0.3354695049000823, 0.7443611195368651, -0.7225932213371078, 19.91463387622526, -2.093234256448553, -4.217270838647129, -4.4514126959734455, -6.172878261403709, -10.012586373217237, 11.070509038074318, -10.599353751837333, -7.770398351163177, 18.556445326553607, 38.26050003666417, -5.415005757646451, -5.4477085759939525, -7.569586038134213, -6.4532331187360965, -3.3353148587204973, 1.7167301766918415, -1.7159440167296311, 2.5825020694616585, 1.6996749783663891, 2.2165285237417205]|386.1972656250000000|      0.50000000|[7733, 568, 0, 568]                                                        | | GPS sucess | actual_k=1
     138|[3.6192958062191614, 6.391885978865963, -1.3359216494674617, -1.022459009627716, 3.056061791562974, 1.2708311243677617, 1.949187975245552, -3.0453001333853416, -0.0821031115952218, 6.330637201670478, -0.2635648739961862, -3.39076006232536, -2.442112802623895, -4.166023586974186, -4.238440405974897, 11.165183797553695, -5.5516967992923245, 30.823692174221783, -7.108721548754571, 7.66984193036207, -6.8709742493823995, -6.897746054345825, -1.7952721218824508, 7.14298709001845, -10.397188524693686, -6.9624261423833165, -10.663062168453415, -6.356951574549965, -7.609494648186734, -5.194791398942659, 55.00194023237277, -5.942970883381081, -2.899096635953745, -2.2083734544215186, -0.9730835643394765, -4.712916213262169, -0.0292767262844352, -0.4390030395361512, -0.2163571600920477, -0.5559897758574215, 0.6620535143200206, -2.65534321301295, -0.3354695049000823, 0.7443611195368651, -0.7225932213371078, 19.91463387622526, -2.093234256448553, -4.217270838647129, -4.4514126959734455, -6.172878261403709, -10.012586373217237, 11.070509038074318, -10.599353751837333, -7.770398351163177, 18.556445326553607, 38.26050003666417, -5.415005757646451, -5.4477085759939525, -7.569586038134213, -6.4532331187360965, -3.3353148587204973, 1.7167301766918415, -1.7159440167296311, 2.5825020694616585, 1.6996749783663891, 2.2165285237417205]|386.1972656250000000|      0.25000000|[7814, 574, 0, 574]                                                        |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 30 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 43 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 56 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 69 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
     139|[3.629283825462044, 6.399425477485698, -1.3229882611150676, -1.0256694189392936, 3.0533911172109987, 1.2689585820535303, 1.9482829450713712, -3.045162675542985, -0.0809414430291662, 6.332717897374104, -0.2607469167998016, -3.3874499838031698, -2.438604005242822, -4.162641584737864, -4.235526390072691, 11.167289025225259, -5.550725627578425, 30.823233326606847, -7.110865047963185, 7.665810483599687, -6.87703781918519, -6.905921365955928, -1.8055711916893842, 7.130620502722322, -10.411499786168772, -6.978496471036175, -10.68064904229768, -6.375763189733915, -7.629199088795355, -5.2150270454587435, 55.241536643958575, -5.963122545090032, -2.9186324121814575, -2.2269304776785357, -0.9657224549709734, -4.728555561217753, -0.0430672070769576, -0.4507592668878763, -0.2259581822088876, -0.5633834680118588, 0.6568482933115112, -2.658449554710226, -0.3366345133053058, 0.7599658278806094, -0.7205906531201134, 19.917763759661746, -2.0893276800199905, -4.212955002292039, -4.447055431130607, -6.168830195189982, -10.009162723632363, 11.073046552623067, -10.597893467144166, -7.770120594508054, 18.55553313148203, 38.258496028389644, -5.417896046476255, -5.451177883202386, -7.573240357228707, -6.456618025767528, -3.337955400130571, 1.7152735984296912, -1.7158869264484424, 2.584196565251365, 1.7028039069644056, 2.2204134185150846]|386.1609191894531250|      0.50000000|[7869, 578, 0, 578]                                                        |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 29 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 42 points | (iterate failure) trying more points before decreasing delta| GPS sucess | actual_k=1
     140|[3.629283825462044, 6.399425477485698, -1.3229882611150676, -1.0256694189392936, 3.0533911172109987, 1.2689585820535303, 1.9482829450713712, -3.045162675542985, -0.0809414430291662, 6.332717897374104, -0.2607469167998016, -3.3874499838031698, -2.438604005242822, -4.162641584737864, -4.235526390072691, 11.167289025225259, -5.550725627578425, 30.823233326606847, -7.110865047963185, 7.665810483599687, -6.87703781918519, -6.905921365955928, -1.8055711916893842, 7.130620502722322, -10.411499786168772, -6.978496471036175, -10.68064904229768, -6.375763189733915, -7.629199088795355, -5.2150270454587435, 55.241536643958575, -5.963122545090032, -2.9186324121814575, -2.2269304776785357, -0.9657224549709734, -4.728555561217753, -0.0430672070769576, -0.4507592668878763, -0.2259581822088876, -0.5633834680118588, 0.6568482933115112, -2.658449554710226, -0.3366345133053058, 0.7599658278806094, -0.7205906531201134, 19.917763759661746, -2.0893276800199905, -4.212955002292039, -4.447055431130607, -6.168830195189982, -10.009162723632363, 11.073046552623067, -10.597893467144166, -7.770120594508054, 18.55553313148203, 38.258496028389644, -5.417896046476255, -5.451177883202386, -7.573240357228707, -6.456618025767528, -3.337955400130571, 1.7152735984296912, -1.7158869264484424, 2.584196565251365, 1.7028039069644056, 2.2204134185150846]|386.1609191894531250|      0.25000000|[7951, 584, 0, 584]                                                        |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 29 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 43 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 56 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 70 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
     141|[3.6086782874216445, 6.3863881060365255, -1.3443051787282163, -1.0200860586137486, 3.057819941620841, 1.2716588945822895, 1.948801723526815, -3.0471441604795353, -0.0856038515226254, 6.325328119568447, -0.2707860572701275, -3.3999501646660137, -2.453283770571587, -4.179145386307207, -4.233945570119458, 11.148400618769742, -5.570125300325083, 31.063141798310376, -7.129937938244862, 7.6475233091960195, -6.894180504315429, -6.921615131089547, -1.8195727325290563, 7.118489130255639, -10.421650181502539, -6.986621654208699, -10.686768639069577, -6.379956045408688, -7.6315969538523465, -5.215806871769207, 55.24216149074204, -5.961333249509794, -2.9159357506700214, -2.2235902687755806, -0.9619993258065459, -4.724697519268183, -0.0393009963272122, -0.4472827742929487, -0.222934128216184, -0.5609345809132782, 0.6586424509776654, -2.657345117546195, -0.3362106572548312, 0.7597600636974169, -0.7213374036839622, 19.91659643051708, -2.0907709070745417, -4.2145140639887915, -4.448564882088718, -6.170129969231382, -10.010109237125908, 11.072569448495427, -10.597822680203825, -7.769469970636575, 18.55674221985037, 38.26018499608138, -5.415863124128247, -5.448989669101489, -7.571127879443731, -6.454837414537468, -3.3367625324910963, 1.733125966262948, -1.7164517773734447, 2.5826802704693153, 1.7005432140811227, 2.2179113808371707]|386.1275329589843750|      0.50000000|[7966, 585, 0, 585]                                                        | | GPS sucess | actual_k=1
     142|[3.5425461442818054, 6.435759013283592, -1.320160914790147, -1.0196045388820556, 3.0610481454800214, 1.277427356200862, 1.9565694371555242, -3.0381866366269485, -0.076456062193335, 6.33355959738038, -0.2646026546573221, -3.3968958222005385, -2.454322046812748, -4.185067491470543, -4.197298689910012, 11.131221338250256, -5.593180147818851, 31.034388556786276, -7.163967455567641, 7.664294299761439, -6.936637738429837, -6.966880734900096, -1.8665509454220655, 7.587082370039879, -10.468571363926369, -7.031795820768872, -10.729141782206078, -6.418594670702658, -7.665722863061598, -5.24482494976856, 55.21864339222379, -5.979173491523129, -2.9281369648792204, -2.23040147081366, -0.9638645695785907, -4.7222326830376815, -0.0332633899351565, -0.4385347160632639, -0.2124018869015344, -0.5495642992244092, 0.6699300759253921, -2.646990773744458, -0.3275281883487863, 0.7661813489131821, -0.7175867336811887, 19.917468988208846, -2.0927701579205253, -4.2191647378178105, -4.455444838550207, -6.178640808425441, -10.01951495344827, 11.063091333950082, -10.60652636836341, -7.776598794650791, 18.551866418346712, 38.2580416521708, -5.4150643345767655, -5.445367049666298, -7.565164071518149, -6.44738305975581, -3.328994452386954, 1.7398070038640314, -1.7123026244761463, 2.5830858766718636, 1.6966238543189012, 2.2102580759958013]|386.1230163574218750|      1.00000000|[7995, 587, 0, 587]                                                        |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta| GPS sucess | actual_k=1
     143|[3.5425461442818054, 6.435759013283592, -1.320160914790147, -1.0196045388820556, 3.0610481454800214, 1.277427356200862, 1.9565694371555242, -3.0381866366269485, -0.076456062193335, 6.33355959738038, -0.2646026546573221, -3.3968958222005385, -2.454322046812748, -4.185067491470543, -4.197298689910012, 11.131221338250256, -5.593180147818851, 31.034388556786276, -7.163967455567641, 7.664294299761439, -6.936637738429837, -6.966880734900096, -1.8665509454220655, 7.587082370039879, -10.468571363926369, -7.031795820768872, -10.729141782206078, -6.418594670702658, -7.665722863061598, -5.24482494976856, 55.21864339222379, -5.979173491523129, -2.9281369648792204, -2.23040147081366, -0.9638645695785907, -4.7222326830376815, -0.0332633899351565, -0.4385347160632639, -0.2124018869015344, -0.5495642992244092, 0.6699300759253921, -2.646990773744458, -0.3275281883487863, 0.7661813489131821, -0.7175867336811887, 19.917468988208846, -2.0927701579205253, -4.2191647378178105, -4.455444838550207, -6.178640808425441, -10.01951495344827, 11.063091333950082, -10.60652636836341, -7.776598794650791, 18.551866418346712, 38.2580416521708, -5.4150643345767655, -5.445367049666298, -7.565164071518149, -6.44738305975581, -3.328994452386954, 1.7398070038640314, -1.7123026244761463, 2.5830858766718636, 1.6966238543189012, 2.2102580759958013]|386.1230163574218750|      0.50000000|[8076, 593, 0, 593]                                                        |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 29 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 42 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 55 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 69 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
     144|[3.5425461442818054, 6.435759013283592, -1.320160914790147, -1.0196045388820556, 3.0610481454800214, 1.277427356200862, 1.9565694371555242, -3.0381866366269485, -0.076456062193335, 6.33355959738038, -0.2646026546573221, -3.3968958222005385, -2.454322046812748, -4.185067491470543, -4.197298689910012, 11.131221338250256, -5.593180147818851, 31.034388556786276, -7.163967455567641, 7.664294299761439, -6.936637738429837, -6.966880734900096, -1.8665509454220655, 7.587082370039879, -10.468571363926369, -7.031795820768872, -10.729141782206078, -6.418594670702658, -7.665722863061598, -5.24482494976856, 55.21864339222379, -5.979173491523129, -2.9281369648792204, -2.23040147081366, -0.9638645695785907, -4.7222326830376815, -0.0332633899351565, -0.4385347160632639, -0.2124018869015344, -0.5495642992244092, 0.6699300759253921, -2.646990773744458, -0.3275281883487863, 0.7661813489131821, -0.7175867336811887, 19.917468988208846, -2.0927701579205253, -4.2191647378178105, -4.455444838550207, -6.178640808425441, -10.01951495344827, 11.063091333950082, -10.60652636836341, -7.776598794650791, 18.551866418346712, 38.2580416521708, -5.4150643345767655, -5.445367049666298, -7.565164071518149, -6.44738305975581, -3.328994452386954, 1.7398070038640314, -1.7123026244761463, 2.5830858766718636, 1.6966238543189012, 2.2102580759958013]|386.1230163574218750|      0.25000000|[8156, 599, 0, 599]                                                        |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 29 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 42 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 55 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 68 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
     145|[3.548343195175112, 6.435810780139496, -1.3153805352005, -1.0209034924282667, 3.059888071454629, 1.27542858708148, 1.9559593854206856, -3.0384487963064992, -0.0763658150204145, 6.333975837249462, -0.2639138531959571, -3.3960096630082335, -2.453329346820836, -4.1840679972476185, -4.196394235293182, 11.131933504266712, -5.592746729472049, 31.034473041939187, -7.164281268987421, 7.663557080411026, -6.937797011284985, -6.968433366396548, -1.868441373320681, 7.584934749961703, -10.470873656893584, -7.034132689785162, -10.731380967125823, -6.4205980747816636, -7.667353587003669, -5.245954802842068, 55.218126161859296, -5.97899045695131, -2.927197450507654, -2.2286873506603224, -0.9614015058877793, -4.719094561820192, -0.029575203062406, -0.4344736183184116, -0.2081961906167635, -0.545490199750754, 0.6735541968854042, -2.6441689843885094, -0.3258842924787116, 0.7662618359564879, -0.7194495219048502, 19.91330640517436, -2.0995462858847835, -4.228804745097624, -4.468114424195406, -6.194400052986636, -10.03829855631182, 11.041491407895604, -10.63057827862969, -7.802573884171007, 18.788961431607554, 38.23045955809751, -5.442036779304782, -5.470640370862735, -7.587599205794897, -6.465864489422091, -3.3425278993247534, 1.7319681791001373, -1.7141073968913447, 2.587049676353378, 1.7052446324176036, 2.221287563471554]|386.0989074707031250|      0.50000000|[8198, 602, 0, 602]                                                        |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 29 points | (iterate failure) trying more points before decreasing delta| GPS sucess | actual_k=1
     146|[3.548343195175112, 6.435810780139496, -1.3153805352005, -1.0209034924282667, 3.059888071454629, 1.27542858708148, 1.9559593854206856, -3.0384487963064992, -0.0763658150204145, 6.333975837249462, -0.2639138531959571, -3.3960096630082335, -2.453329346820836, -4.1840679972476185, -4.196394235293182, 11.131933504266712, -5.592746729472049, 31.034473041939187, -7.164281268987421, 7.663557080411026, -6.937797011284985, -6.968433366396548, -1.868441373320681, 7.584934749961703, -10.470873656893584, -7.034132689785162, -10.731380967125823, -6.4205980747816636, -7.667353587003669, -5.245954802842068, 55.218126161859296, -5.97899045695131, -2.927197450507654, -2.2286873506603224, -0.9614015058877793, -4.719094561820192, -0.029575203062406, -0.4344736183184116, -0.2081961906167635, -0.545490199750754, 0.6735541968854042, -2.6441689843885094, -0.3258842924787116, 0.7662618359564879, -0.7194495219048502, 19.91330640517436, -2.0995462858847835, -4.228804745097624, -4.468114424195406, -6.194400052986636, -10.03829855631182, 11.041491407895604, -10.63057827862969, -7.802573884171007, 18.788961431607554, 38.23045955809751, -5.442036779304782, -5.470640370862735, -7.587599205794897, -6.465864489422091, -3.3425278993247534, 1.7319681791001373, -1.7141073968913447, 2.587049676353378, 1.7052446324176036, 2.221287563471554]|386.0989074707031250|      0.25000000|[8280, 608, 0, 608]                                                        |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 29 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 42 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 56 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 70 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
     147|[3.548343195175112, 6.435810780139496, -1.3153805352005, -1.0209034924282667, 3.059888071454629, 1.27542858708148, 1.9559593854206856, -3.0384487963064992, -0.0763658150204145, 6.333975837249462, -0.2639138531959571, -3.3960096630082335, -2.453329346820836, -4.1840679972476185, -4.196394235293182, 11.131933504266712, -5.592746729472049, 31.034473041939187, -7.164281268987421, 7.663557080411026, -6.937797011284985, -6.968433366396548, -1.868441373320681, 7.584934749961703, -10.470873656893584, -7.034132689785162, -10.731380967125823, -6.4205980747816636, -7.667353587003669, -5.245954802842068, 55.218126161859296, -5.97899045695131, -2.927197450507654, -2.2286873506603224, -0.9614015058877793, -4.719094561820192, -0.029575203062406, -0.4344736183184116, -0.2081961906167635, -0.545490199750754, 0.6735541968854042, -2.6441689843885094, -0.3258842924787116, 0.7662618359564879, -0.7194495219048502, 19.91330640517436, -2.0995462858847835, -4.228804745097624, -4.468114424195406, -6.194400052986636, -10.03829855631182, 11.041491407895604, -10.63057827862969, -7.802573884171007, 18.788961431607554, 38.23045955809751, -5.442036779304782, -5.470640370862735, -7.587599205794897, -6.465864489422091, -3.3425278993247534, 1.7319681791001373, -1.7141073968913447, 2.587049676353378, 1.7052446324176036, 2.221287563471554]|386.0989074707031250|      0.12500000|[8361, 614, 0, 614]                                                        |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 29 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 42 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 55 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 69 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
