k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]| 15.0000174966258228|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.5646164307189353, -0.0594540059306736, 0.0386275893003782, 0.6278879636359469, -0.0153509528161912, 0.0963607797714703, 0.2289094485312639, -0.1114670199122151, -0.1424044383654957, -0.077666885009112, -0.0394842492868574, -0.0647227331189745, 0.1065271078469519, 0.2351392818333306, -0.0595938134479406, 0.0789389550904117, -0.1864927625725845, 0.0764368219173067, -0.07961659890136, -0.0959358280177396, 0.0520055056182281, -0.2006064461458321]| 13.3903303146362305|      2.00000000|[27, 4, 0, 2]                                                              |  | trying linear partial model with 15 points | iterate success | actual_k=2
      93|[2.055208452892214, -0.7533312598349302, 0.0701877671414826, 1.587521076360417, 0.4020404627220527, -0.0835838392818881, 0.2101829173579707, 0.0024887881463126, 0.3023911368053768, -0.0314297923208257, -0.2424683027558226, -0.0942462018458029, 0.3875997227034689, 0.4265661649293013, -0.0674625563491271, -0.1010393054109418, -0.1082244968586753, 0.0737865855889436, 0.0447588537795347, 0.389924642689485, 0.0590338013598871, -0.6798895222520801]| 12.1453685760498047|      0.00781250|[2457, 372, 0, 186]                                                        |  | trying linear partial model with 15 points | iterate success | actual_k=2
      94|[2.055208452892214, -0.7533312598349302, 0.0701877671414826, 1.587521076360417, 0.4020404627220527, -0.0835838392818881, 0.2101829173579707, 0.0024887881463126, 0.3023911368053768, -0.0314297923208257, -0.2424683027558226, -0.0942462018458029, 0.3875997227034689, 0.4265661649293013, -0.0674625563491271, -0.1010393054109418, -0.1082244968586753, 0.0737865855889436, 0.0447588537795347, 0.389924642689485, 0.0590338013598871, -0.6798895222520801]| 12.1453685760498047|      0.00390625|[2484, 376, 0, 188]                                                        |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      95|[2.0542979273289936, -0.7540503275109826, 0.0709538079446838, 1.590207438386739, 0.4025596627416606, -0.0842835386008742, 0.2105396127437688, 0.002266308634425, 0.3023240454755688, -0.0307243179974143, -0.2430602000657827, -0.0949856908039927, 0.3864193702148105, 0.4266570817512611, -0.066757315723667, -0.1016082691632502, -0.1077522400842953, 0.0727884064790844, 0.0445965548636447, 0.3898046962693986, 0.0595311568361673, -0.6800992741139621]| 12.1453638076782227|      0.00781250|[2510, 380, 0, 190]                                                        |  | trying linear partial model with 15 points | iterate success | actual_k=2
      96|[2.0542979273289936, -0.7540503275109826, 0.0709538079446838, 1.590207438386739, 0.4025596627416606, -0.0842835386008742, 0.2105396127437688, 0.002266308634425, 0.3023240454755688, -0.0307243179974143, -0.2430602000657827, -0.0949856908039927, 0.3864193702148105, 0.4266570817512611, -0.066757315723667, -0.1016082691632502, -0.1077522400842953, 0.0727884064790844, 0.0445965548636447, 0.3898046962693986, 0.0595311568361673, -0.6800992741139621]| 12.1453638076782227|      0.00390625|[2536, 384, 0, 192]                                                        |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      97|[2.0542979273289936, -0.7540503275109826, 0.0709538079446838, 1.590207438386739, 0.4025596627416606, -0.0842835386008742, 0.2105396127437688, 0.002266308634425, 0.3023240454755688, -0.0307243179974143, -0.2430602000657827, -0.0949856908039927, 0.3864193702148105, 0.4266570817512611, -0.066757315723667, -0.1016082691632502, -0.1077522400842953, 0.0727884064790844, 0.0445965548636447, 0.3898046962693986, 0.0595311568361673, -0.6800992741139621]| 12.1453638076782227|      0.00195312|[2562, 388, 0, 194]                                                        |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      98|[2.053091587258039, -0.7541598014722297, 0.0710586545673251, 1.590582340412258, 0.4024090148957387, -0.084024426324806, 0.2104740080334209, 0.0018817308490296, 0.3024926679431995, -0.0313692950711175, -0.243330211182351, -0.0950216277876372, 0.3860341893258949, 0.4264956661071292, -0.066357046620208, -0.1016475278678588, -0.1076869168247881, 0.0724807512998849, 0.0448192217458802, 0.3895708845677668, 0.0601083160502263, -0.6793490797372483]| 12.1453609466552734|      0.00390625|[2588, 392, 0, 196]                                                        |  | trying linear partial model with 15 points | iterate success | actual_k=2
      99|[2.053091587258039, -0.7541598014722297, 0.0710586545673251, 1.590582340412258, 0.4024090148957387, -0.084024426324806, 0.2104740080334209, 0.0018817308490296, 0.3024926679431995, -0.0313692950711175, -0.243330211182351, -0.0950216277876372, 0.3860341893258949, 0.4264956661071292, -0.066357046620208, -0.1016475278678588, -0.1076869168247881, 0.0724807512998849, 0.0448192217458802, 0.3895708845677668, 0.0601083160502263, -0.6793490797372483]| 12.1453609466552734|      0.00195312|[2614, 396, 0, 198]                                                        |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
     100|[2.052486993447308, -0.7543940340251397, 0.0719798760709042, 1.5910501341652687, 0.4028621735736052, -0.0842344217865965, 0.2107863377829057, 0.0024976063933092, 0.3020684875808204, -0.0314189607448599, -0.2432395802906552, -0.094875927466904, 0.3855448725743684, 0.4271107995372217, -0.0661096662043845, -0.1013624430188186, -0.1080031212460048, 0.0722325619182165, 0.0448397801535076, 0.3894752348661447, 0.0607141535066978, -0.6796494009024523]| 12.1453590393066406|      0.00390625|[2641, 400, 0, 200]                                                        |  | trying linear partial model with 15 points | iterate success | actual_k=2
     101|[2.052486993447308, -0.7543940340251397, 0.0719798760709042, 1.5910501341652687, 0.4028621735736052, -0.0842344217865965, 0.2107863377829057, 0.0024976063933092, 0.3020684875808204, -0.0314189607448599, -0.2432395802906552, -0.094875927466904, 0.3855448725743684, 0.4271107995372217, -0.0661096662043845, -0.1013624430188186, -0.1080031212460048, 0.0722325619182165, 0.0448397801535076, 0.3894752348661447, 0.0607141535066978, -0.6796494009024523]| 12.1453590393066406|      0.00195312|[2668, 404, 0, 202]                                                        |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
     102|[2.0514081730510045, -0.7549458214927827, 0.0725230894288419, 1.5914788052408095, 0.4029159368349181, -0.0845801069958659, 0.2104418071036584, 0.0027236917473129, 0.3019155846749262, -0.0310506595621618, -0.2436352601321588, -0.0947564816043783, 0.3851070598681512, 0.4275016466279689, -0.066097288109018, -0.1019430708292496, -0.1076103967924272, 0.0720257603873623, 0.0448302577190592, 0.389276058330576, 0.0609365911963009, -0.6801761949572639]| 12.1453561782836914|      0.00390625|[2695, 408, 0, 204]                                                        |  | trying linear partial model with 15 points | iterate success | actual_k=2
     103|[2.0496452901281224, -0.75712765421069, 0.073282860312966, 1.5922318311169448, 0.4029792034699597, -0.0843508348683933, 0.2109921167892081, 0.0034639928207786, 0.3016932846987163, -0.0310338524240552, -0.2433671263030085, -0.0953274740667255, 0.3848178295738403, 0.427685114311291, -0.0658085784086713, -0.1007855270191452, -0.107005134522261, 0.0725764327099415, 0.0438205421709927, 0.3880671567213754, 0.0605948628687017, -0.6804649017326169]| 12.1453504562377930|      0.00781250|[2721, 412, 0, 206]                                                        |  | trying linear partial model with 15 points | iterate success | actual_k=2
     104|[2.0496452901281224, -0.75712765421069, 0.073282860312966, 1.5922318311169448, 0.4029792034699597, -0.0843508348683933, 0.2109921167892081, 0.0034639928207786, 0.3016932846987163, -0.0310338524240552, -0.2433671263030085, -0.0953274740667255, 0.3848178295738403, 0.427685114311291, -0.0658085784086713, -0.1007855270191452, -0.107005134522261, 0.0725764327099415, 0.0438205421709927, 0.3880671567213754, 0.0605948628687017, -0.6804649017326169]| 12.1453504562377930|      0.00390625|[2747, 416, 0, 208]                                                        |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
     105|[2.0471245716617332, -0.7574212155184262, 0.0730689098716486, 1.5924960370518026, 0.4022434653738022, -0.0852267214549234, 0.2095435962512407, 0.0039616745436523, 0.3014005524664381, -0.0302486687121648, -0.2433913780885977, -0.0954602828099128, 0.3841935031638964, 0.4271545575343326, -0.0661981444349531, -0.101521501736898, -0.1062081485238939, 0.0730743115466744, 0.0424282830544379, 0.3878677523676181, 0.0607730213247642, -0.6801993106959424]| 12.1453475952148438|      0.00781250|[2773, 420, 0, 210]                                                        |  | trying linear partial model with 15 points | iterate success | actual_k=2
     106|[2.0471245716617332, -0.7574212155184262, 0.0730689098716486, 1.5924960370518026, 0.4022434653738022, -0.0852267214549234, 0.2095435962512407, 0.0039616745436523, 0.3014005524664381, -0.0302486687121648, -0.2433913780885977, -0.0954602828099128, 0.3841935031638964, 0.4271545575343326, -0.0661981444349531, -0.101521501736898, -0.1062081485238939, 0.0730743115466744, 0.0424282830544379, 0.3878677523676181, 0.0607730213247642, -0.6801993106959424]| 12.1453475952148438|      0.00390625|[2799, 424, 0, 212]                                                        |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
     107|[2.0462401222375783, -0.7578043284392979, 0.0724125309602244, 1.5948063080847417, 0.4015368079575936, -0.0847389645606531, 0.2094223370283533, 0.0048808252116593, 0.3015087676039431, -0.0306781301333975, -0.2441691543576868, -0.0960968682918085, 0.3841831427978162, 0.4265758916454126, -0.0659747312124307, -0.1002611752112998, -0.1069357854197455, 0.0720110829880184, 0.0420998092922188, 0.3882793410917747, 0.0615849388819922, -0.6791090260635144]| 12.1453428268432617|      0.00781250|[2825, 428, 0, 214]                                                        |  | trying linear partial model with 15 points | iterate success | actual_k=2
     108|[2.0462401222375783, -0.7578043284392979, 0.0724125309602244, 1.5948063080847417, 0.4015368079575936, -0.0847389645606531, 0.2094223370283533, 0.0048808252116593, 0.3015087676039431, -0.0306781301333975, -0.2441691543576868, -0.0960968682918085, 0.3841831427978162, 0.4265758916454126, -0.0659747312124307, -0.1002611752112998, -0.1069357854197455, 0.0720110829880184, 0.0420998092922188, 0.3882793410917747, 0.0615849388819922, -0.6791090260635144]| 12.1453428268432617|      0.00390625|[2851, 432, 0, 216]                                                        |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
     109|[2.0438522448170615, -0.758366716195858, 0.0728313805359937, 1.596425644756921, 0.4014980787364371, -0.0856698992290454, 0.2089044096026825, 0.0055418849279137, 0.3007662088086421, -0.0300512406517209, -0.245416336658738, -0.0961392508917493, 0.3839856979129214, 0.4260572652060404, -0.0663689875350462, -0.1013613047753552, -0.1070091235857472, 0.0723278136865394, 0.0416891198044104, 0.3887393797024682, 0.0611291089383918, -0.6790897355550862]| 12.1453371047973633|      0.00781250|[2878, 436, 0, 218]                                                        |  | trying linear partial model with 15 points | iterate success | actual_k=2
     110|[2.0438522448170615, -0.758366716195858, 0.0728313805359937, 1.596425644756921, 0.4014980787364371, -0.0856698992290454, 0.2089044096026825, 0.0055418849279137, 0.3007662088086421, -0.0300512406517209, -0.245416336658738, -0.0961392508917493, 0.3839856979129214, 0.4260572652060404, -0.0663689875350462, -0.1013613047753552, -0.1070091235857472, 0.0723278136865394, 0.0416891198044104, 0.3887393797024682, 0.0611291089383918, -0.6790897355550862]| 12.1453371047973633|      0.00390625|[2905, 440, 0, 220]                                                        |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
