k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]| 15.0000174966258228|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.614944127497286, 0.0395075219406405, 0.147527283644249, 0.7729846599569771, -0.0004894004462272, -0.007815722536211, 0.0098736228282815, 0.0070226138975166, 0.0005701274179612, -0.0046629814208838, -0.0036867393821901, 0.0035133915176163, -0.0162090730521576, 0.0070069511334569, 0.0041618536420601, 0.0100459619381737, -0.0018339438523748, -0.0002087378814613, 0.0164085813119094, 0.0065244021019688, 0.0015057524172729, 0.0030983026323684]| 13.1521635055541992|      2.00000000|[126, 0, 0, 2]                                                             |  | trying linear partial model with 65 points | iterate success | actual_k=0
      93|[1.413694150962093, 0.0768677588622051, 0.271041786143285, 2.000784907900614, -0.2195058685104161, -0.0463595601218345, -0.0130938665319228, 0.0182496712165447, -0.1836403458880979, 0.021281153710178, 0.006704704583894, 0.0435952406756278, -0.1061529186340586, -0.1195303716415801, 0.0393028012514329, -0.2054648208429765, -0.1140179530271703, -0.0760412421754229, 0.0263320847732533, 0.0530162556461762, 0.0050635745128378, -0.0264084796852318]| 12.1443805694580078|      0.00781250|[11626, 0, 0, 186]                                                         |  | trying linear partial model with 65 points | iterate success | actual_k=0
      94|[1.413694150962093, 0.0768677588622051, 0.271041786143285, 2.000784907900614, -0.2195058685104161, -0.0463595601218345, -0.0130938665319228, 0.0182496712165447, -0.1836403458880979, 0.021281153710178, 0.006704704583894, 0.0435952406756278, -0.1061529186340586, -0.1195303716415801, 0.0393028012514329, -0.2054648208429765, -0.1140179530271703, -0.0760412421754229, 0.0263320847732533, 0.0530162556461762, 0.0050635745128378, -0.0264084796852318]| 12.1443805694580078|      0.00390625|[11751, 0, 0, 188]                                                         |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      95|[1.4108378837317825, 0.0755895230939114, 0.2712529091895126, 2.002656917140194, -0.219453277453848, -0.045611482818045, -0.0131527293493803, 0.0180860747815999, -0.1841405072860759, 0.0212050141263247, 0.0069256552075917, 0.0442355089364839, -0.1057731938072149, -0.1192388608644404, 0.039224262025462, -0.2058725053865511, -0.1137558235682231, -0.0763312347209505, 0.0265062070123629, 0.053070170440236, 0.0050437158937203, -0.0265579492465035]| 12.1443729400634766|      0.00781250|[11876, 0, 0, 190]                                                         |  | trying linear partial model with 65 points | iterate success | actual_k=0
      96|[1.4108378837317825, 0.0755895230939114, 0.2712529091895126, 2.002656917140194, -0.219453277453848, -0.045611482818045, -0.0131527293493803, 0.0180860747815999, -0.1841405072860759, 0.0212050141263247, 0.0069256552075917, 0.0442355089364839, -0.1057731938072149, -0.1192388608644404, 0.039224262025462, -0.2058725053865511, -0.1137558235682231, -0.0763312347209505, 0.0265062070123629, 0.053070170440236, 0.0050437158937203, -0.0265579492465035]| 12.1443729400634766|      0.00390625|[12001, 0, 0, 192]                                                         |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      97|[1.4108378837317825, 0.0755895230939114, 0.2712529091895126, 2.002656917140194, -0.219453277453848, -0.045611482818045, -0.0131527293493803, 0.0180860747815999, -0.1841405072860759, 0.0212050141263247, 0.0069256552075917, 0.0442355089364839, -0.1057731938072149, -0.1192388608644404, 0.039224262025462, -0.2058725053865511, -0.1137558235682231, -0.0763312347209505, 0.0265062070123629, 0.053070170440236, 0.0050437158937203, -0.0265579492465035]| 12.1443729400634766|      0.00195312|[12126, 0, 0, 194]                                                         |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      98|[1.4094556095938475, 0.0750300280959681, 0.2715685436821654, 2.0037865663421606, -0.2193403864542149, -0.0454990880248131, -0.0131140205589455, 0.0180553599302227, -0.1841530072674373, 0.0211973713770343, 0.0067450675829977, 0.0441721264557643, -0.1058211042962205, -0.1191964424851578, 0.0393007323969158, -0.2057220844294799, -0.1138366539698365, -0.0764751502787193, 0.0266629999452511, 0.0528634722721403, 0.0049416092616893, -0.0266721318182301]| 12.1443691253662109|      0.00390625|[12251, 0, 0, 196]                                                         |  | trying linear partial model with 65 points | iterate success | actual_k=0
      99|[1.40689799319042, 0.0740018024301131, 0.2725547249098486, 2.006206292314883, -0.219245153130417, -0.0455400264892807, -0.0129481325878247, 0.017873074430257, -0.1842352520068817, 0.0210236815096269, 0.0065612202225638, 0.0442419304880715, -0.1055651528635983, -0.1193511767044967, 0.039147966425793, -0.205824353321364, -0.1141860015069208, -0.076143346986968, 0.0264311046580385, 0.0532101739676697, 0.0047489603084296, -0.0263272597080793]| 12.1443614959716797|      0.00781250|[12376, 0, 0, 198]                                                         |  | trying linear partial model with 65 points | iterate success | actual_k=0
     100|[1.40689799319042, 0.0740018024301131, 0.2725547249098486, 2.006206292314883, -0.219245153130417, -0.0455400264892807, -0.0129481325878247, 0.017873074430257, -0.1842352520068817, 0.0210236815096269, 0.0065612202225638, 0.0442419304880715, -0.1055651528635983, -0.1193511767044967, 0.039147966425793, -0.205824353321364, -0.1141860015069208, -0.076143346986968, 0.0264311046580385, 0.0532101739676697, 0.0047489603084296, -0.0263272597080793]| 12.1443614959716797|      0.00390625|[12501, 0, 0, 200]                                                         |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
     101|[1.4036047083414334, 0.0727138027978651, 0.2727436191164639, 2.007534328123299, -0.2189986844101193, -0.0456752945602721, -0.013251730426554, 0.0180851447578702, -0.1842098368512042, 0.0209160053261439, 0.0065623714939778, 0.043903495503166, -0.1060147444776063, -0.1193751856183689, 0.0389317206471916, -0.2056223122259102, -0.1144422870078254, -0.0763985104194104, 0.0267875484070461, 0.0534268878602884, 0.0047605725420771, -0.0264559335236696]| 12.1443538665771484|      0.00781250|[12626, 0, 0, 202]                                                         |  | trying linear partial model with 65 points | iterate success | actual_k=0
     102|[1.4036047083414334, 0.0727138027978651, 0.2727436191164639, 2.007534328123299, -0.2189986844101193, -0.0456752945602721, -0.013251730426554, 0.0180851447578702, -0.1842098368512042, 0.0209160053261439, 0.0065623714939778, 0.043903495503166, -0.1060147444776063, -0.1193751856183689, 0.0389317206471916, -0.2056223122259102, -0.1144422870078254, -0.0763985104194104, 0.0267875484070461, 0.0534268878602884, 0.0047605725420771, -0.0264559335236696]| 12.1443538665771484|      0.00390625|[12751, 0, 0, 204]                                                         |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
     103|[1.401613926090564, 0.0717778479876114, 0.2735892206745903, 2.0103262443768606, -0.2188004183830782, -0.0456164912706745, -0.0136695002783191, 0.0181028365848192, -0.1837708069981916, 0.0213159547504709, 0.0061381574574023, 0.0441081797169447, -0.1062125307210582, -0.119318960772029, 0.0382384471563748, -0.2052182590656539, -0.1142281106014307, -0.0766174804465939, 0.0267000583970477, 0.0536644127953984, 0.0042510799604189, -0.0265738787863622]| 12.1443471908569336|      0.00781250|[12876, 0, 0, 206]                                                         |  | trying linear partial model with 65 points | iterate success | actual_k=0
     104|[1.401613926090564, 0.0717778479876114, 0.2735892206745903, 2.0103262443768606, -0.2188004183830782, -0.0456164912706745, -0.0136695002783191, 0.0181028365848192, -0.1837708069981916, 0.0213159547504709, 0.0061381574574023, 0.0441081797169447, -0.1062125307210582, -0.119318960772029, 0.0382384471563748, -0.2052182590656539, -0.1142281106014307, -0.0766174804465939, 0.0267000583970477, 0.0536644127953984, 0.0042510799604189, -0.0265738787863622]| 12.1443471908569336|      0.00390625|[13001, 0, 0, 208]                                                         |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
     105|[1.401613926090564, 0.0717778479876114, 0.2735892206745903, 2.0103262443768606, -0.2188004183830782, -0.0456164912706745, -0.0136695002783191, 0.0181028365848192, -0.1837708069981916, 0.0213159547504709, 0.0061381574574023, 0.0441081797169447, -0.1062125307210582, -0.119318960772029, 0.0382384471563748, -0.2052182590656539, -0.1142281106014307, -0.0766174804465939, 0.0267000583970477, 0.0536644127953984, 0.0042510799604189, -0.0265738787863622]| 12.1443471908569336|      0.00195312|[13126, 0, 0, 210]                                                         |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
     106|[1.400031542122995, 0.0712179913182664, 0.2738213658528857, 2.0112262611729395, -0.2187703617070855, -0.0456038694675997, -0.0136525627231408, 0.018158903862914, -0.1837747015525761, 0.0212151052901251, 0.0059612603227512, 0.0440922540901783, -0.1061537625882066, -0.1193246790804289, 0.0384212344985946, -0.2051215322572978, -0.1143054628126402, -0.0766671855985575, 0.0268194205758946, 0.0535679414324233, 0.0043414480435791, -0.0266011534851224]| 12.1443433761596680|      0.00390625|[13251, 0, 0, 212]                                                         |  | trying linear partial model with 65 points | iterate success | actual_k=0
     107|[1.3971894556366893, 0.069906687931874, 0.2747025452655968, 2.013202464945329, -0.2187807216177438, -0.0458074136384194, -0.0136756084533793, 0.0178243629100923, -0.1839689634263156, 0.0209825632603495, 0.0055958247514873, 0.044088348096679, -0.1064233387566742, -0.1195948318052381, 0.0383932090079839, -0.2050397977786501, -0.1141193835564202, -0.0767921843048326, 0.0268741578895241, 0.0537229338969705, 0.0047503843661834, -0.0266557658776599]| 12.1443357467651367|      0.00781250|[13376, 0, 0, 214]                                                         |  | trying linear partial model with 65 points | iterate success | actual_k=0
     108|[1.3971894556366893, 0.069906687931874, 0.2747025452655968, 2.013202464945329, -0.2187807216177438, -0.0458074136384194, -0.0136756084533793, 0.0178243629100923, -0.1839689634263156, 0.0209825632603495, 0.0055958247514873, 0.044088348096679, -0.1064233387566742, -0.1195948318052381, 0.0383932090079839, -0.2050397977786501, -0.1141193835564202, -0.0767921843048326, 0.0268741578895241, 0.0537229338969705, 0.0047503843661834, -0.0266557658776599]| 12.1443357467651367|      0.00390625|[13501, 0, 0, 216]                                                         |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
     109|[1.3944151048542581, 0.0688191487850828, 0.275813920962411, 2.015386116120221, -0.2186129236872063, -0.0458030668680939, -0.0134942183345556, 0.0176824616387525, -0.1840403347466643, 0.0209770296691872, 0.0056506549618538, 0.0442586001634014, -0.1064858762697887, -0.1196326051393779, 0.038291157251595, -0.204880792026326, -0.1139562254380476, -0.0765248120941255, 0.0270103621949821, 0.0534644338473098, 0.0048750416464454, -0.0267867241431102]| 12.1443271636962891|      0.00781250|[13626, 0, 0, 218]                                                         |  | trying linear partial model with 65 points | iterate success | actual_k=0
     110|[1.3944151048542581, 0.0688191487850828, 0.275813920962411, 2.015386116120221, -0.2186129236872063, -0.0458030668680939, -0.0134942183345556, 0.0176824616387525, -0.1840403347466643, 0.0209770296691872, 0.0056506549618538, 0.0442586001634014, -0.1064858762697887, -0.1196326051393779, 0.038291157251595, -0.204880792026326, -0.1139562254380476, -0.0765248120941255, 0.0270103621949821, 0.0534644338473098, 0.0048750416464454, -0.0267867241431102]| 12.1443271636962891|      0.00390625|[13751, 0, 0, 220]                                                         |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
