k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]| 15.0000174966258228|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.60955365384053, 0.0519686182417115, 0.1352852997417735, 0.7793853305530221, 1.609250672e-07, -2.422217912e-07, -5.32587174e-08, 2.27899544e-08, 3.16402345e-08, 1.762629297e-07, -1.543221612e-07, 8.62207278e-08, -1.82291335e-08, -3.8467728e-09, -6.20435433e-08, 5.87407109e-08, -2.13268219e-07, 4.22780265e-08, -6.55131027e-08, 8.23336644e-08, 1.427369123e-07, -6.57679062e-08]| 13.1512060165405273|      2.00000000|[126, 0, 0, 2]                                                             |  | trying linear partial model with 65 points | iterate success | actual_k=0
      91|[1.3894752507429986, 0.0812548594579279, 0.3592418729115735, 2.0036888077974604, -0.0001931512182421, 5.63182127032e-05, -1.40486925583e-05, -0.0008533604859455, 0.0004235395694349, -0.0009445742605944, -9.88608043339e-05, 0.0003500300174875, 0.0001772518257946, 0.0002593456827617, -0.000265856980846, 0.0004197792449063, -0.0001805163639724, -0.0001703585486813, -2.02256531322e-05, -5.05868514302e-05, -0.0005597174504313, -0.0006462012726457]| 12.1443119049072266|      0.00781250|[11376, 0, 0, 182]                                                         |  | trying linear partial model with 65 points | iterate success | actual_k=0
      92|[1.3894752507429986, 0.0812548594579279, 0.3592418729115735, 2.0036888077974604, -0.0001931512182421, 5.63182127032e-05, -1.40486925583e-05, -0.0008533604859455, 0.0004235395694349, -0.0009445742605944, -9.88608043339e-05, 0.0003500300174875, 0.0001772518257946, 0.0002593456827617, -0.000265856980846, 0.0004197792449063, -0.0001805163639724, -0.0001703585486813, -2.02256531322e-05, -5.05868514302e-05, -0.0005597174504313, -0.0006462012726457]| 12.1443119049072266|      0.00390625|[11501, 0, 0, 184]                                                         |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      93|[1.3867764146419477, 0.0800047101697682, 0.3600777029040168, 2.006057941686866, -0.0002534146058206, 0.0001177869103725, -4.93300583695e-05, -0.0009538248139096, 0.0005003106700802, -0.0009623662408448, 1.293350092e-07, 0.000441174261067, 0.0001383837004107, 0.0002744054962333, -0.0003885037360016, 0.0004852647091789, -6.95767996064e-05, -0.0001172113302003, -4.73525092398e-05, 1.33202218407e-05, -0.0004318946783741, -0.0006269973548805]| 12.1443042755126953|      0.00781250|[11626, 0, 0, 186]                                                         |  | trying linear partial model with 65 points | iterate success | actual_k=0
      94|[1.3867764146419477, 0.0800047101697682, 0.3600777029040168, 2.006057941686866, -0.0002534146058206, 0.0001177869103725, -4.93300583695e-05, -0.0009538248139096, 0.0005003106700802, -0.0009623662408448, 1.293350092e-07, 0.000441174261067, 0.0001383837004107, 0.0002744054962333, -0.0003885037360016, 0.0004852647091789, -6.95767996064e-05, -0.0001172113302003, -4.73525092398e-05, 1.33202218407e-05, -0.0004318946783741, -0.0006269973548805]| 12.1443042755126953|      0.00390625|[11751, 0, 0, 188]                                                         |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      95|[1.3837391823918104, 0.0787284252139196, 0.3607957524647133, 2.0079878121498114, -0.0003494632701799, 0.0002777803358896, -4.2320884654e-05, -0.0008833288594514, 0.0005506452089626, -0.0010038503202147, 0.0001292786355436, 0.0003995071026526, 0.000115770045281, 0.0003931557773627, -0.0004160707877282, 0.0004099321764766, 4.04538991822e-05, -6.47970493957e-05, 5.532438149e-07, -5.54383670383e-05, -0.0006325179338223, -0.0007663683424635]| 12.1442966461181641|      0.00781250|[11876, 0, 0, 190]                                                         |  | trying linear partial model with 65 points | iterate success | actual_k=0
      96|[1.3837391823918104, 0.0787284252139196, 0.3607957524647133, 2.0079878121498114, -0.0003494632701799, 0.0002777803358896, -4.2320884654e-05, -0.0008833288594514, 0.0005506452089626, -0.0010038503202147, 0.0001292786355436, 0.0003995071026526, 0.000115770045281, 0.0003931557773627, -0.0004160707877282, 0.0004099321764766, 4.04538991822e-05, -6.47970493957e-05, 5.532438149e-07, -5.54383670383e-05, -0.0006325179338223, -0.0007663683424635]| 12.1442966461181641|      0.00390625|[12001, 0, 0, 192]                                                         |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      97|[1.3811051911897803, 0.0774729957449049, 0.3614615348217068, 2.010461209395039, -0.0003343439347657, 0.0001225845349309, 0.0001148622479378, -0.0009300489135489, 0.000493692703169, -0.000853424096503, -0.0001397396437621, 0.0003618876778009, 0.0001435948498011, 0.000468554408029, -0.0004819578552763, 0.0003234001003103, 5.9615116017e-05, -9.29955192732e-05, 5.98438427727e-05, -4.72113795686e-05, -0.000535018002455, -0.0007459925048547]| 12.1442880630493164|      0.00781250|[12126, 0, 0, 194]                                                         |  | trying linear partial model with 65 points | iterate success | actual_k=0
      98|[1.3811051911897803, 0.0774729957449049, 0.3614615348217068, 2.010461209395039, -0.0003343439347657, 0.0001225845349309, 0.0001148622479378, -0.0009300489135489, 0.000493692703169, -0.000853424096503, -0.0001397396437621, 0.0003618876778009, 0.0001435948498011, 0.000468554408029, -0.0004819578552763, 0.0003234001003103, 5.9615116017e-05, -9.29955192732e-05, 5.98438427727e-05, -4.72113795686e-05, -0.000535018002455, -0.0007459925048547]| 12.1442880630493164|      0.00390625|[12251, 0, 0, 196]                                                         |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      99|[1.3779602485266833, 0.0763530021004272, 0.3622068466384171, 2.012327317339275, -0.0003002939899623, 0.0001153587661309, 5.6960934013e-05, -0.0009901466643175, 0.0005225832941265, -0.000880620935614, -0.000225403983426, 0.0005040918433618, 4.03835463693e-05, 0.0004867291141861, -0.0003789337638945, 0.000293552787245, 8.6645353209e-05, -0.0001121971324743, 0.0001326532363881, -0.000111979482785, -0.0005958920506345, -0.0007036733412229]| 12.1442804336547852|      0.00781250|[12376, 0, 0, 198]                                                         |  | trying linear partial model with 65 points | iterate success | actual_k=0
     100|[1.3779602485266833, 0.0763530021004272, 0.3622068466384171, 2.012327317339275, -0.0003002939899623, 0.0001153587661309, 5.6960934013e-05, -0.0009901466643175, 0.0005225832941265, -0.000880620935614, -0.000225403983426, 0.0005040918433618, 4.03835463693e-05, 0.0004867291141861, -0.0003789337638945, 0.000293552787245, 8.6645353209e-05, -0.0001121971324743, 0.0001326532363881, -0.000111979482785, -0.0005958920506345, -0.0007036733412229]| 12.1442804336547852|      0.00390625|[12501, 0, 0, 200]                                                         |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
     101|[1.3754855397928396, 0.0752287806755729, 0.3630324381579353, 2.014994079531036, -0.0003742750489915, 0.0001679907886695, 7.34932503027e-05, -0.0009636259620384, 0.0003987673446426, -0.0009499696437346, -0.0002889143003343, 0.0004975881756383, 1.14212227526e-05, 0.0005522136706726, -0.0003673857014751, 0.0004080476003971, 6.73969916615e-05, -0.0001547298184345, 0.0001867772700267, -0.0002218176035202, -0.0006860876994685, -0.0007235840124924]| 12.1442728042602539|      0.00781250|[12626, 0, 0, 202]                                                         |  | trying linear partial model with 65 points | iterate success | actual_k=0
     102|[1.3754855397928396, 0.0752287806755729, 0.3630324381579353, 2.014994079531036, -0.0003742750489915, 0.0001679907886695, 7.34932503027e-05, -0.0009636259620384, 0.0003987673446426, -0.0009499696437346, -0.0002889143003343, 0.0004975881756383, 1.14212227526e-05, 0.0005522136706726, -0.0003673857014751, 0.0004080476003971, 6.73969916615e-05, -0.0001547298184345, 0.0001867772700267, -0.0002218176035202, -0.0006860876994685, -0.0007235840124924]| 12.1442728042602539|      0.00390625|[12751, 0, 0, 204]                                                         |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
     103|[1.3722698560811548, 0.0739522445877679, 0.3637681558677075, 2.016610916771398, -0.0004050966488641, 0.0001598851123129, 0.0002463075370973, -0.0007923959868077, 0.0004608171080356, -0.000974038412412, -0.0002683209493012, 0.0005333974509556, 4.77782079533e-05, 0.0005823061755246, -0.0004691773501829, 0.0003201354802994, 8.58355144105e-05, -0.0002033873058543, 9.88156436353e-05, -0.0001170991511837, -0.0008444091785361, -0.0007306422124459]| 12.1442651748657227|      0.00781250|[12876, 0, 0, 206]                                                         |  | trying linear partial model with 65 points | iterate success | actual_k=0
     104|[1.3722698560811548, 0.0739522445877679, 0.3637681558677075, 2.016610916771398, -0.0004050966488641, 0.0001598851123129, 0.0002463075370973, -0.0007923959868077, 0.0004608171080356, -0.000974038412412, -0.0002683209493012, 0.0005333974509556, 4.77782079533e-05, 0.0005823061755246, -0.0004691773501829, 0.0003201354802994, 8.58355144105e-05, -0.0002033873058543, 9.88156436353e-05, -0.0001170991511837, -0.0008444091785361, -0.0007306422124459]| 12.1442651748657227|      0.00390625|[13001, 0, 0, 208]                                                         |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
     105|[1.3699499641791497, 0.0728510552882353, 0.3643476237314839, 2.019470688058839, -0.0003991649101139, 0.0001616991520932, 0.0003618552652651, -0.0008445658801356, 0.0004665956891649, -0.0009064956921117, -0.0004160695868038, 0.0006364329329282, 9.23239686664e-05, 0.0005785703332462, -0.0004622200905829, 0.0004238793794061, 0.0001114402773971, -0.0003878026587175, 0.0002568644375668, -0.0002462527087325, -0.0008780368922803, -0.0008129835994391]| 12.1442575454711914|      0.00781250|[13126, 0, 0, 210]                                                         |  | trying linear partial model with 65 points | iterate success | actual_k=0
     106|[1.3699499641791497, 0.0728510552882353, 0.3643476237314839, 2.019470688058839, -0.0003991649101139, 0.0001616991520932, 0.0003618552652651, -0.0008445658801356, 0.0004665956891649, -0.0009064956921117, -0.0004160695868038, 0.0006364329329282, 9.23239686664e-05, 0.0005785703332462, -0.0004622200905829, 0.0004238793794061, 0.0001114402773971, -0.0003878026587175, 0.0002568644375668, -0.0002462527087325, -0.0008780368922803, -0.0008129835994391]| 12.1442575454711914|      0.00390625|[13251, 0, 0, 212]                                                         |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
     107|[1.3666227567034834, 0.0716658946496709, 0.3649304429759, 2.02100472443519, -0.0004234088455161, 3.29801854161e-05, 0.0004130419011504, -0.0008570056438957, 0.0004616526875437, -0.0010189535883684, -0.0004408957423005, 0.0006442228713375, 0.0001816502095745, 0.0006154957089213, -0.0005708783023456, 0.0003198516029147, -1.09313426901e-05, -0.0003599058261365, 0.0003402356510418, -0.0002513593748126, -0.0008710646050118, -0.0008668252730754]| 12.1442499160766602|      0.00781250|[13376, 0, 0, 214]                                                         |  | trying linear partial model with 65 points | iterate success | actual_k=0
     108|[1.3666227567034834, 0.0716658946496709, 0.3649304429759, 2.02100472443519, -0.0004234088455161, 3.29801854161e-05, 0.0004130419011504, -0.0008570056438957, 0.0004616526875437, -0.0010189535883684, -0.0004408957423005, 0.0006442228713375, 0.0001816502095745, 0.0006154957089213, -0.0005708783023456, 0.0003198516029147, -1.09313426901e-05, -0.0003599058261365, 0.0003402356510418, -0.0002513593748126, -0.0008710646050118, -0.0008668252730754]| 12.1442499160766602|      0.00390625|[13501, 0, 0, 216]                                                         |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
     109|[1.3641565631663706, 0.0705063554820546, 0.365738548772553, 2.023658001865958, -0.0004989448261982, -0.0001119441595074, 0.0004674832484966, -0.0007887077422262, 0.0005424503505483, -0.0009654534108883, -0.0004219649360584, 0.0005691703178279, 0.0001046481034791, 0.0007024845809156, -0.0005093610992428, 0.0004396947042269, 3.45644230125e-05, -0.0002292052397693, 0.0001956318091171, -0.0002483201174876, -0.0008846957976814, -0.0009995330732685]| 12.1442422866821289|      0.00781250|[13626, 0, 0, 218]                                                         |  | trying linear partial model with 65 points | iterate success | actual_k=0
     110|[1.3641565631663706, 0.0705063554820546, 0.365738548772553, 2.023658001865958, -0.0004989448261982, -0.0001119441595074, 0.0004674832484966, -0.0007887077422262, 0.0005424503505483, -0.0009654534108883, -0.0004219649360584, 0.0005691703178279, 0.0001046481034791, 0.0007024845809156, -0.0005093610992428, 0.0004396947042269, 3.45644230125e-05, -0.0002292052397693, 0.0001956318091171, -0.0002483201174876, -0.0008846957976814, -0.0009995330732685]| 12.1442422866821289|      0.00390625|[13751, 0, 0, 220]                                                         |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
