k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]| 15.0000174966258228|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.5625333655012217, -0.0987652096082075, -0.0056629995779544, 0.6963695860181313, 0.14836837724344, -0.0837789903368286, -0.0985519643736741, 0.0525375541891417, 0.0965393958761853, -0.0196854846614547, -0.0297842198314033, -0.0419578852249265, 0.2735949378246539, -0.1818034707847289, -0.0375644755943238, -0.0089669932665603, 0.0052204460814968, 0.1285241551416834, -0.0216149182815511, -0.0887893515630658, 0.0059628610502888, -0.0254764695919806]| 13.3236818313598633|      2.00000000|[29, 4, 0, 2]                                                              |  | trying linear partial model with 15 points | iterate success | actual_k=2
      92|[1.403893404142345, -0.2637257633653136, 0.0764626459802321, 2.0650192119392217, 0.2959130382422207, -0.5081390252551767, -0.3141149745706788, -0.1123540952789195, -0.696767904322679, 0.0714275500715803, 0.5513338732458459, 0.0214681186470107, 0.4946821168064395, -0.3083287900296584, 0.2846294837271761, -0.1573319128460505, 0.3517881088974539, -0.0322587642840224, -0.1352258084958632, -0.0730210659143498, -0.072253816427904, -0.0989207868660379]| 12.1441459655761719|      0.00390625|[2589, 368, 12, 196]                                                       |  | trying linear partial model with 15 points | iterate success | actual_k=2
      93|[1.403893404142345, -0.2637257633653136, 0.0764626459802321, 2.0650192119392217, 0.2959130382422207, -0.5081390252551767, -0.3141149745706788, -0.1123540952789195, -0.696767904322679, 0.0714275500715803, 0.5513338732458459, 0.0214681186470107, 0.4946821168064395, -0.3083287900296584, 0.2846294837271761, -0.1573319128460505, 0.3517881088974539, -0.0322587642840224, -0.1352258084958632, -0.0730210659143498, -0.072253816427904, -0.0989207868660379]| 12.1441459655761719|      0.00195312|[2617, 372, 12, 198]                                                       |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      94|[1.4027662651913466, -0.2635451714281898, 0.076499063889069, 2.066060087442433, 0.2962706555026879, -0.5080424344344983, -0.3135439516596836, -0.1126002036013743, -0.6967389873979378, 0.0714575099314999, 0.5514104370202035, 0.0209796876590793, 0.4945045572005831, -0.3085292267712056, 0.2846965821726242, -0.1574117219577248, 0.3515630825451511, -0.0326148344705949, -0.1347711310833626, -0.0727705215703645, -0.0723492987839129, -0.0985768990822047]| 12.1441431045532227|      0.00390625|[2645, 376, 12, 200]                                                       |  | trying linear partial model with 15 points | iterate success | actual_k=2
      95|[1.4012242559586414, -0.2653452202737273, 0.0760360317153227, 2.067314031991041, 0.2961689792176525, -0.5074971691335081, -0.3135606235453273, -0.1128017819638611, -0.6964803599971495, 0.0718154955762085, 0.5516881339033739, 0.020956752706101, 0.4942219731156843, -0.3072298747839672, 0.2841083731356147, -0.1577604847421591, 0.3520393105374149, -0.0326915911172262, -0.1332690675561217, -0.0723654662621602, -0.0729401853662866, -0.0971644874896238]| 12.1441383361816406|      0.00781250|[2673, 380, 12, 202]                                                       |  | trying linear partial model with 15 points | iterate success | actual_k=2
      96|[1.4012242559586414, -0.2653452202737273, 0.0760360317153227, 2.067314031991041, 0.2961689792176525, -0.5074971691335081, -0.3135606235453273, -0.1128017819638611, -0.6964803599971495, 0.0718154955762085, 0.5516881339033739, 0.020956752706101, 0.4942219731156843, -0.3072298747839672, 0.2841083731356147, -0.1577604847421591, 0.3520393105374149, -0.0326915911172262, -0.1332690675561217, -0.0723654662621602, -0.0729401853662866, -0.0971644874896238]| 12.1441383361816406|      0.00390625|[2701, 384, 12, 204]                                                       |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      97|[1.4012242559586414, -0.2653452202737273, 0.0760360317153227, 2.067314031991041, 0.2961689792176525, -0.5074971691335081, -0.3135606235453273, -0.1128017819638611, -0.6964803599971495, 0.0718154955762085, 0.5516881339033739, 0.020956752706101, 0.4942219731156843, -0.3072298747839672, 0.2841083731356147, -0.1577604847421591, 0.3520393105374149, -0.0326915911172262, -0.1332690675561217, -0.0723654662621602, -0.0729401853662866, -0.0971644874896238]| 12.1441383361816406|      0.00195312|[2729, 388, 12, 206]                                                       |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      98|[1.3999934351725338, -0.2654170023596665, 0.0763304735131554, 2.0677849172574, 0.2962601915872506, -0.5082338541397602, -0.3131997392055654, -0.1126881994137732, -0.6968598765087805, 0.072036445295781, 0.5517172132839278, 0.02048317111651, 0.494536903246946, -0.3072598381368238, 0.2843703383078239, -0.1575351906610327, 0.3519877239558284, -0.0323677695080563, -0.1336588933038109, -0.072240188150428, -0.0734272941694658, -0.0975415006374901]| 12.1441364288330078|      0.00390625|[2757, 392, 12, 208]                                                       |  | trying linear partial model with 15 points | iterate success | actual_k=2
      99|[1.3986736395005046, -0.2663563809258371, 0.076549016062133, 2.0700493199034344, 0.296368896210627, -0.5072058259752109, -0.3139927130230194, -0.1123220156162641, -0.696709044078947, 0.0721553424090742, 0.5515397040824099, 0.0211366620295411, 0.494884277689375, -0.3072263842294263, 0.2847153831072224, -0.1564987666970882, 0.3515593642408074, -0.0329811377585007, -0.1351944538753322, -0.0727825984046184, -0.0726565491717178, -0.0974353012667204]| 12.1441307067871094|      0.00781250|[2785, 396, 12, 210]                                                       |  | trying linear partial model with 15 points | iterate success | actual_k=2
     100|[1.3970204896776754, -0.2676913280763911, 0.0770614969478528, 2.073003507699309, 0.2987198650195136, -0.5063515487549737, -0.3143497783006309, -0.1150313266022053, -0.6956546834097037, 0.0713129254605996, 0.5513740822859539, 0.0186892913652119, 0.4963111723904601, -0.3048573503891697, 0.2837860086529194, -0.1586968559772009, 0.3497869715132772, -0.0343527134895093, -0.1359857402918109, -0.0743836241493193, -0.070832839406381, -0.0963933848996888]| 12.1441258260860270|      0.01562500|[2813, 400, 13, 213]                                                       |  | trying linear partial model with 15 points FAILED TO GET X_HAT, using additional batch call | iterate success | actual_k=2
     101|[1.3970204896776754, -0.2676913280763911, 0.0770614969478528, 2.073003507699309, 0.2987198650195136, -0.5063515487549737, -0.3143497783006309, -0.1150313266022053, -0.6956546834097037, 0.0713129254605996, 0.5513740822859539, 0.0186892913652119, 0.4963111723904601, -0.3048573503891697, 0.2837860086529194, -0.1586968559772009, 0.3497869715132772, -0.0343527134895093, -0.1359857402918109, -0.0743836241493193, -0.070832839406381, -0.0963933848996888]| 12.1441258260860270|      0.00781250|[2842, 404, 13, 215]                                                       |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
     102|[1.3970204896776754, -0.2676913280763911, 0.0770614969478528, 2.073003507699309, 0.2987198650195136, -0.5063515487549737, -0.3143497783006309, -0.1150313266022053, -0.6956546834097037, 0.0713129254605996, 0.5513740822859539, 0.0186892913652119, 0.4963111723904601, -0.3048573503891697, 0.2837860086529194, -0.1586968559772009, 0.3497869715132772, -0.0343527134895093, -0.1359857402918109, -0.0743836241493193, -0.070832839406381, -0.0963933848996888]| 12.1441258260860270|      0.00390625|[2870, 408, 13, 217]                                                       |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
     103|[1.394722325503187, -0.269202942866631, 0.076916488067188, 2.072331372254093, 0.2992449613950013, -0.506905895097982, -0.3134756765874009, -0.1161436098672229, -0.6947767920152017, 0.070284563460602, 0.55219253377536, 0.0185597432454633, 0.4964249515813583, -0.3046306124144985, 0.2838694109444421, -0.1583794565362328, 0.3498507961844765, -0.0344080773826976, -0.1369069661508933, -0.0734291656520253, -0.0707488728456165, -0.0968110510171855]| 12.1441202163696289|      0.00781250|[2898, 412, 13, 219]                                                       |  | trying linear partial model with 15 points | iterate success | actual_k=2
     104|[1.394722325503187, -0.269202942866631, 0.076916488067188, 2.072331372254093, 0.2992449613950013, -0.506905895097982, -0.3134756765874009, -0.1161436098672229, -0.6947767920152017, 0.070284563460602, 0.55219253377536, 0.0185597432454633, 0.4964249515813583, -0.3046306124144985, 0.2838694109444421, -0.1583794565362328, 0.3498507961844765, -0.0344080773826976, -0.1369069661508933, -0.0734291656520253, -0.0707488728456165, -0.0968110510171855]| 12.1441202163696289|      0.00390625|[2926, 416, 13, 221]                                                       |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
